line,sex,rep,concentration,exposure,total_flies,survival_proportion
41,F,1,0,0,15,1
41,F,2,0,0,20,1
41,F,3,0,0,19,1
41,F,4,0,0,10,1
59,F,1,0,0,19,1
59,F,2,0,0,20,1
59,F,3,0,0,19,1
59,F,4,0,0,20,1
83,F,1,0,0,19,1
83,F,2,0,0,18,1
83,F,3,0,0,20,1
83,F,4,0,0,20,1
129,F,1,0,0,19,1
129,F,2,0,0,20,1
129,F,3,0,0,20,1
129,F,4,0,0,19,1
195,F,1,0,0,17,1
195,F,2,0,0,19,1
195,F,3,0,0,20,1
195,F,4,0,0,18,1
217,F,1,0,0,20,1
217,F,2,0,0,20,1
217,F,3,0,0,19,1
217,F,4,0,0,19,1
228,F,1,0,0,19,1
228,F,2,0,0,20,1
228,F,3,0,0,20,1
228,F,4,0,0,20,1
367,F,1,0,0,20,1
367,F,2,0,0,19,1
367,F,3,0,0,19,1
367,F,4,0,0,20,1
371,F,1,0,0,20,1
371,F,2,0,0,17,1
371,F,3,0,0,20,1
371,F,4,0,0,19,1
491,F,1,0,0,19,1
491,F,2,0,0,20,1
491,F,3,0,0,18,1
491,F,4,0,0,20,1
508,F,1,0,0,17,1
508,F,2,0,0,18,1
508,F,3,0,0,17,1
508,F,4,0,0,20,1
799,F,1,0,0,20,1
799,F,2,0,0,18,1
799,F,3,0,0,17,1
799,F,4,0,0,14,1
808,F,2,0,0,19,1
808,F,1,0,0,20,1
808,F,4,0,0,19,1
808,F,3,0,0,21,1
900,F,1,0,0,19,1
900,F,2,0,0,20,1
900,F,3,0,0,18,1
900,F,4,0,0,19,1
41,M,1,0,0,19,1
41,M,2,0,0,18,1
41,M,3,0,0,17,1
41,M,4,0,0,20,1
59,M,1,0,0,19,1
59,M,2,0,0,18,1
59,M,3,0,0,19,1
59,M,4,0,0,18,1
83,M,1,0,0,18,1
83,M,2,0,0,18,1
83,M,3,0,0,19,1
83,M,4,0,0,19,1
129,M,1,0,0,20,1
129,M,2,0,0,20,1
129,M,3,0,0,18,1
129,M,4,0,0,19,1
195,M,1,0,0,20,1
195,M,2,0,0,19,1
195,M,3,0,0,20,1
195,M,4,0,0,19,1
217,M,1,0,0,20,1
217,M,2,0,0,21,1
217,M,3,0,0,18,1
217,M,4,0,0,20,1
228,M,1,0,0,20,1
228,M,2,0,0,20,1
228,M,3,0,0,19,1
228,M,4,0,0,18,1
367,M,1,0,0,15,1
367,M,2,0,0,13,1
367,M,3,0,0,19,1
367,M,4,0,0,20,1
371,M,1,0,0,15,1
371,M,2,0,0,15,1
371,M,3,0,0,20,1
371,M,4,0,0,18,1
491,M,1,0,0,20,1
491,M,2,0,0,20,1
491,M,3,0,0,19,1
491,M,4,0,0,19,1
508,M,1,0,0,18,1
508,M,2,0,0,20,1
508,M,3,0,0,19,1
508,M,4,0,0,18,1
799,M,1,0,0,19,1
799,M,2,0,0,17,1
799,M,3,0,0,19,1
799,M,4,0,0,17,1
808,M,1,0,0,19,1
808,M,2,0,0,18,1
808,M,4,0,0,19,1
808,M,3,0,0,19,1
900,M,1,0,0,15,1
900,M,2,0,0,19,1
900,M,3,0,0,16,1
900,M,4,0,0,15,1
41,F,1,0.8,0,20,1
41,F,2,0.8,0,17,1
41,F,3,0.8,0,20,1
41,F,4,0.8,0,18,1
59,F,1,0.8,0,20,1
59,F,2,0.8,0,18,1
59,F,3,0.8,0,20,1
59,F,4,0.8,0,20,1
83,F,1,0.8,0,19,1
83,F,2,0.8,0,18,1
83,F,3,0.8,0,20,1
83,F,4,0.8,0,20,1
129,F,1,0.8,0,19,1
129,F,2,0.8,0,18,1
129,F,3,0.8,0,20,1
129,F,4,0.8,0,19,1
195,F,4,0.8,0,15,1
195,F,1,0.8,0,18,1
195,F,2,0.8,0,16,1
195,F,3,0.8,0,19,1
217,F,1,0.8,0,20,1
217,F,2,0.8,0,19,1
217,F,3,0.8,0,19,1
217,F,4,0.8,0,21,1
228,F,1,0.8,0,17,1
228,F,2,0.8,0,19,1
228,F,3,0.8,0,20,1
228,F,4,0.8,0,17,1
367,F,1,0.8,0,16,1
367,F,2,0.8,0,19,1
367,F,3,0.8,0,19,1
367,F,4,0.8,0,20,1
371,F,1,0.8,0,16,1
371,F,2,0.8,0,20,1
371,F,3,0.8,0,15,1
371,F,4,0.8,0,17,1
491,F,1,0.8,0,20,1
491,F,2,0.8,0,20,1
491,F,3,0.8,0,20,1
491,F,4,0.8,0,20,1
508,F,1,0.8,0,16,1
508,F,2,0.8,0,18,1
508,F,3,0.8,0,20,1
799,F,1,0.8,0,19,1
799,F,2,0.8,0,18,1
799,F,3,0.8,0,18,1
799,F,4,0.8,0,19,1
808,F,1,0.8,0,17,1
808,F,4,0.8,0,18,1
808,F,3,0.8,0,19,1
808,F,2,0.8,0,13,1
900,F,1,0.8,0,18,1
900,F,2,0.8,0,20,1
900,F,3,0.8,0,20,1
900,F,4,0.8,0,16,1
41,M,1,0.8,0,20,1
41,M,2,0.8,0,20,1
41,M,3,0.8,0,19,1
41,M,4,0.8,0,19,1
59,M,1,0.8,0,18,1
59,M,2,0.8,0,18,1
59,M,3,0.8,0,19,1
59,M,4,0.8,0,18,1
83,M,1,0.8,0,19,1
83,M,2,0.8,0,20,1
83,M,3,0.8,0,20,1
83,M,4,0.8,0,18,1
129,M,1,0.8,0,18,1
129,M,2,0.8,0,20,1
129,M,3,0.8,0,18,1
129,M,4,0.8,0,17,1
195,M,1,0.8,0,15,1
195,M,2,0.8,0,18,1
195,M,3,0.8,0,18,1
195,M,4,0.8,0,19,1
217,M,1,0.8,0,20,1
217,M,2,0.8,0,18,1
217,M,3,0.8,0,20,1
217,M,4,0.8,0,19,1
228,M,1,0.8,0,18,1
228,M,2,0.8,0,18,1
228,M,3,0.8,0,20,1
228,M,4,0.8,0,17,1
367,M,1,0.8,0,20,1
367,M,2,0.8,0,16,1
367,M,3,0.8,0,20,1
367,M,4,0.8,0,18,1
371,M,1,0.8,0,20,1
371,M,2,0.8,0,19,1
371,M,3,0.8,0,19,1
371,M,4,0.8,0,18,1
491,M,1,0.8,0,20,1
491,M,2,0.8,0,20,1
491,M,3,0.8,0,20,1
491,M,4,0.8,0,20,1
508,M,1,0.8,0,19,1
508,M,2,0.8,0,20,1
508,M,3,0.8,0,19,1
508,M,4,0.8,0,20,1
799,M,1,0.8,0,20,1
799,M,2,0.8,0,20,1
799,M,3,0.8,0,18,1
799,M,4,0.8,0,18,1
808,M,3,0.8,0,17,1
808,M,4,0.8,0,19,1
808,M,1,0.8,0,17,1
808,M,2,0.8,0,19,1
900,M,1,0.8,0,16,1
900,M,2,0.8,0,17,1
900,M,3,0.8,0,19,1
900,M,4,0.8,0,18,1
41,F,1,1.5,0,18,1
41,F,2,1.5,0,17,1
41,F,3,1.5,0,16,1
41,F,4,1.5,0,20,1
59,F,1,1.5,0,18,1
59,F,2,1.5,0,18,1
59,F,3,1.5,0,20,1
59,F,4,1.5,0,20,1
83,F,1,1.5,0,19,1
83,F,2,1.5,0,19,1
83,F,3,1.5,0,19,1
83,F,4,1.5,0,20,1
129,F,1,1.5,0,19,1
129,F,2,1.5,0,18,1
129,F,3,1.5,0,19,1
129,F,4,1.5,0,20,1
195,F,4,1.5,0,17,1
195,F,1,1.5,0,19,1
195,F,2,1.5,0,18,1
195,F,3,1.5,0,17,1
217,F,1,1.5,0,20,1
217,F,2,1.5,0,19,1
217,F,3,1.5,0,20,1
217,F,4,1.5,0,19,1
228,F,1,1.5,0,18,1
228,F,2,1.5,0,18,1
228,F,3,1.5,0,20,1
228,F,4,1.5,0,18,1
367,F,1,1.5,0,17,1
367,F,2,1.5,0,20,1
367,F,3,1.5,0,20,1
367,F,4,1.5,0,17,1
371,F,1,1.5,0,17,1
371,F,2,1.5,0,19,1
371,F,3,1.5,0,20,1
371,F,4,1.5,0,20,1
491,F,1,1.5,0,19,1
491,F,2,1.5,0,18,1
491,F,3,1.5,0,20,1
491,F,4,1.5,0,20,1
508,F,1,1.5,0,20,1
508,F,2,1.5,0,18,1
508,F,3,1.5,0,20,1
508,F,4,1.5,0,16,1
508,F,5,1.5,0,20,1
799,F,1,1.5,0,20,1
799,F,2,1.5,0,16,1
799,F,3,1.5,0,20,1
799,F,4,1.5,0,18,1
808,F,2,1.5,0,18,1
808,F,4,1.5,0,20,1
808,F,1,1.5,0,18,1
808,F,3,1.5,0,20,1
900,F,1,1.5,0,17,1
900,F,2,1.5,0,19,1
900,F,3,1.5,0,18,1
900,F,4,1.5,0,20,1
41,M,1,1.5,0,20,1
41,M,2,1.5,0,20,1
41,M,3,1.5,0,19,1
41,M,4,1.5,0,20,1
59,M,1,1.5,0,19,1
59,M,2,1.5,0,19,1
59,M,3,1.5,0,15,1
59,M,4,1.5,0,19,1
83,M,1,1.5,0,20,1
83,M,2,1.5,0,20,1
83,M,3,1.5,0,17,1
83,M,4,1.5,0,18,1
129,M,1,1.5,0,20,1
129,M,2,1.5,0,14,1
129,M,3,1.5,0,19,1
129,M,4,1.5,0,17,1
195,M,1,1.5,0,19,1
195,M,2,1.5,0,17,1
195,M,3,1.5,0,19,1
195,M,4,1.5,0,19,1
217,M,1,1.5,0,20,1
217,M,2,1.5,0,16,1
217,M,3,1.5,0,18,1
217,M,4,1.5,0,18,1
228,M,1,1.5,0,17,1
228,M,2,1.5,0,20,1
228,M,3,1.5,0,20,1
228,M,4,1.5,0,15,1
367,M,1,1.5,0,19,1
367,M,2,1.5,0,18,1
367,M,3,1.5,0,18,1
367,M,4,1.5,0,19,1
371,M,1,1.5,0,17,1
371,M,2,1.5,0,19,1
371,M,3,1.5,0,20,1
371,M,4,1.5,0,12,1
491,M,1,1.5,0,18,1
491,M,2,1.5,0,18,1
491,M,3,1.5,0,19,1
491,M,4,1.5,0,20,1
508,M,1,1.5,0,18,1
508,M,2,1.5,0,20,1
508,M,3,1.5,0,20,1
508,M,4,1.5,0,20,1
799,M,1,1.5,0,17,1
799,M,2,1.5,0,18,1
799,M,3,1.5,0,19,1
799,M,4,1.5,0,17,1
808,M,2,1.5,0,17,1
808,M,4,1.5,0,18,1
808,M,1,1.5,0,19,1
808,M,3,1.5,0,20,1
900,M,1,1.5,0,17,1
900,M,2,1.5,0,12,1
900,M,3,1.5,0,20,1
900,M,4,1.5,0,18,1
41,F,1,0,24,15,1
41,F,2,0,24,19,0.95
41,F,3,0,24,19,1
41,F,4,0,24,10,1
59,F,1,0,24,19,1
59,F,2,0,24,20,1
59,F,3,0,24,19,1
59,F,4,0,24,20,1
83,F,1,0,24,19,1
83,F,2,0,24,18,1
83,F,3,0,24,20,1
83,F,4,0,24,20,1
129,F,1,0,24,19,1
129,F,2,0,24,20,1
129,F,3,0,24,20,1
129,F,4,0,24,19,1
195,F,1,0,24,17,1
195,F,2,0,24,19,1
195,F,3,0,24,20,1
195,F,4,0,24,18,1
217,F,1,0,24,20,1
217,F,2,0,24,20,1
217,F,3,0,24,19,1
217,F,4,0,24,19,1
228,F,1,0,24,19,1
228,F,2,0,24,20,1
228,F,3,0,24,20,1
228,F,4,0,24,20,1
367,F,1,0,24,20,1
367,F,2,0,24,19,1
367,F,3,0,24,19,1
367,F,4,0,24,20,1
371,F,1,0,24,20,1
371,F,2,0,24,17,1
371,F,3,0,24,20,1
371,F,4,0,24,19,1
491,F,1,0,24,19,1
491,F,2,0,24,20,1
491,F,3,0,24,18,1
491,F,4,0,24,19,0.95
508,F,1,0,24,17,1
508,F,2,0,24,18,1
508,F,3,0,24,17,1
508,F,4,0,24,20,1
799,F,1,0,24,20,1
799,F,2,0,24,18,1
799,F,3,0,24,17,1
799,F,4,0,24,14,1
808,F,2,0,24,18,0.947368421
808,F,1,0,24,20,1
808,F,4,0,24,19,1
808,F,3,0,24,21,1
900,F,1,0,24,18,0.947368421
900,F,2,0,24,20,1
900,F,3,0,24,17,0.944444444
900,F,4,0,24,18,0.947368421
41,M,1,0,24,19,1
41,M,2,0,24,18,1
41,M,3,0,24,17,1
41,M,4,0,24,20,1
59,M,1,0,24,19,1
59,M,2,0,24,18,1
59,M,3,0,24,19,1
59,M,4,0,24,18,1
83,M,1,0,24,18,1
83,M,2,0,24,18,1
83,M,3,0,24,19,1
83,M,4,0,24,19,1
129,M,1,0,24,20,1
129,M,2,0,24,20,1
129,M,3,0,24,18,1
129,M,4,0,24,18,0.947368421
195,M,1,0,24,20,1
195,M,2,0,24,17,0.894736842
195,M,3,0,24,20,1
195,M,4,0,24,19,1
217,M,1,0,24,20,1
217,M,2,0,24,21,1
217,M,3,0,24,18,1
217,M,4,0,24,20,1
228,M,1,0,24,20,1
228,M,2,0,24,20,1
228,M,3,0,24,19,1
228,M,4,0,24,17,0.944444444
367,M,1,0,24,15,1
367,M,2,0,24,13,1
367,M,3,0,24,19,1
367,M,4,0,24,20,1
371,M,1,0,24,15,1
371,M,2,0,24,15,1
371,M,3,0,24,20,1
371,M,4,0,24,18,1
491,M,1,0,24,20,1
491,M,2,0,24,20,1
491,M,3,0,24,19,1
491,M,4,0,24,19,1
508,M,1,0,24,18,1
508,M,2,0,24,19,0.95
508,M,3,0,24,19,1
508,M,4,0,24,18,1
799,M,1,0,24,19,1
799,M,2,0,24,16,0.941176471
799,M,3,0,24,19,1
799,M,4,0,24,16,0.941176471
808,M,1,0,24,19,1
808,M,2,0,24,18,1
808,M,4,0,24,19,1
808,M,3,0,24,19,1
900,M,1,0,24,14,0.933333333
900,M,2,0,24,19,1
900,M,3,0,24,16,1
900,M,4,0,24,14,0.933333333
41,F,1,0.8,24,18,0.9
41,F,2,0.8,24,15,0.882352941
41,F,3,0.8,24,17,0.85
41,F,4,0.8,24,17,0.944444444
59,F,1,0.8,24,6,0.3
59,F,2,0.8,24,5,0.277777778
59,F,3,0.8,24,5,0.25
59,F,4,0.8,24,8,0.4
83,F,1,0.8,24,13,0.684210526
83,F,2,0.8,24,16,0.888888889
83,F,3,0.8,24,19,0.95
83,F,4,0.8,24,14,0.7
129,F,1,0.8,24,18,0.947368421
129,F,2,0.8,24,17,0.944444444
129,F,3,0.8,24,20,1
129,F,4,0.8,24,17,0.894736842
195,F,4,0.8,24,15,1
195,F,1,0.8,24,18,1
195,F,2,0.8,24,16,1
195,F,3,0.8,24,17,0.894736842
217,F,1,0.8,24,20,1
217,F,2,0.8,24,19,1
217,F,3,0.8,24,19,1
217,F,4,0.8,24,21,1
228,F,1,0.8,24,12,0.705882353
228,F,2,0.8,24,11,0.578947368
228,F,3,0.8,24,19,0.95
228,F,4,0.8,24,16,0.941176471
367,F,1,0.8,24,5,0.3125
367,F,2,0.8,24,7,0.368421053
367,F,3,0.8,24,7,0.368421053
367,F,4,0.8,24,16,0.8
371,F,1,0.8,24,13,0.8125
371,F,2,0.8,24,18,0.9
371,F,3,0.8,24,14,0.933333333
371,F,4,0.8,24,15,0.882352941
491,F,1,0.8,24,20,1
491,F,2,0.8,24,14,0.7
491,F,3,0.8,24,20,1
491,F,4,0.8,24,16,0.8
508,F,1,0.8,24,8,0.5
508,F,2,0.8,24,4,0.222222222
508,F,3,0.8,24,13,0.65
799,F,1,0.8,24,16,0.842105263
799,F,2,0.8,24,18,1
799,F,3,0.8,24,18,1
799,F,4,0.8,24,17,0.894736842
808,F,1,0.8,24,17,1
808,F,4,0.8,24,17,0.944444444
808,F,3,0.8,24,11,0.578947368
808,F,2,0.8,24,12,0.923076923
900,F,1,0.8,24,2,0.111111111
900,F,2,0.8,24,6,0.3
900,F,3,0.8,24,19,0.95
900,F,4,0.8,24,0,0
41,M,1,0.8,24,18,0.9
41,M,2,0.8,24,18,0.9
41,M,3,0.8,24,11,0.578947368
41,M,4,0.8,24,12,0.631578947
59,M,1,0.8,24,0,0
59,M,2,0.8,24,0,0
59,M,3,0.8,24,7,0.368421053
59,M,4,0.8,24,5,0.277777778
83,M,1,0.8,24,18,0.947368421
83,M,2,0.8,24,19,0.95
83,M,3,0.8,24,14,0.7
83,M,4,0.8,24,9,0.5
129,M,1,0.8,24,17,0.944444444
129,M,2,0.8,24,18,0.9
129,M,3,0.8,24,16,0.888888889
129,M,4,0.8,24,16,0.941176471
195,M,1,0.8,24,5,0.333333333
195,M,2,0.8,24,18,1
195,M,3,0.8,24,18,1
195,M,4,0.8,24,19,1
217,M,1,0.8,24,18,0.9
217,M,2,0.8,24,18,1
217,M,3,0.8,24,17,0.85
217,M,4,0.8,24,15,0.789473684
228,M,1,0.8,24,11,0.611111111
228,M,2,0.8,24,11,0.611111111
228,M,3,0.8,24,12,0.6
228,M,4,0.8,24,14,0.823529412
367,M,1,0.8,24,10,0.5
367,M,2,0.8,24,4,0.25
367,M,3,0.8,24,3,0.15
367,M,4,0.8,24,6,0.333333333
371,M,1,0.8,24,15,0.75
